QuestionNum,Question,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Answer,Explaination,ImageUrl,QuizCode,QuizTitle,QuizDescription
13,A solutions architect needs the static website within an Amazon S3 bucket.Which action will accomplish this?,Enable Amazon S3 versioning,Enable Amazon S3 Intelligent-Tiering.,Enable an Amazon S3 lifecycle policy,Enable Amazon S3 cross-Region replication.,,A,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
14,"A company is managing health records on-premises. The company must keep these records indefinitely, disable any modifications to the records oncethey are stored, and granularly audit access at all levels. The chief technology officer (CTO) is concerned because there are already millions of recordsnot being used by any application, and the current infrastructure is running out of space. The CTO has requested a solutions architect design a solutionto move existing data and support future records.Which services can the solutions architect recommend to meet these requirements'?",Use AWS DataSync to move existing data to AWS.Use Amazon S3 to store existing and new data.Enable Amazon S3 object lock and enable AWS CloudTrail with data events.,Use AWS Storage Gateway to move existing data to AWS.Use Amazon S3 to store existing and new data.Enable Amazon S3 object lock and enable AWS CloudTrail with management events.,Use AWS DataSync to move existing data to AWS.Use Amazon S3 to store existing and new data.Enable Amazon S3 object lock and enable AWS CloudTrail with management events.,Use AWS Storage Gateway to move existing data to AWS.Use Amazon Elastic Block Store (Amazon EBS) to store existing and new data.Enable Amazon S3 object lock and enable Amazon S3 server access logging.,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
15,A company currently operates a web application backed by an Amazon RDS MySQL database. It has automated backups that are run daily and are notencrypted. A security audit requires future backups to be encrypted and the unencrypted backups to be destroyed. The company will make at least oneencrypted backup before destroying the old backups.What should be done to enable encryption for future backups?,Enable default encryption for the Amazon S3 bucket where backups are stored,Modify the backup section of the database configuration to toggle the Enable encryption check box.,Create a snapshot of the database.Copy it to an encrypted snapshot.Restore the database from the encrypted snapshot.,Enable an encrypted read replica on RDS for MySQL.Promote the encrypted read replica to primary.Remove the original database instance.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
16,A client reports that they want see an audit log of any changes made to AWS resources in their account.What can the client do to achieve this?,Set up Amazon CloudWatch monitors on services they own,Enable AWS CloudTrail logs to be delivered to an Amazon S3 bucket,Use Amazon CloudWatch Events to parse logs,Use AWS OpsWorks to manage their resources,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
17,An application running in a private subnet accesses an Amazon DynamoDB table. There is a security requirement that the data never leave the AWSnetwork.How should this requirement be met?,Configure a network ACL on DynamoDB to limit traffic to the private subnet,Enable DynamoDB encryption at rest using an AWS KMS key,Add a NAT gateway and configure the route table on the private subnet,Create a VPC endpoint for DynamoDB and configure the endpoint policy,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
18,"A three-tier application is being created to host small news articles. The application is expected to serve millions of users. When breaking news occurs,the site must handle very large spikes in traffic without significantly impacting database performance.Which design meets these requirements while minimizing costs?",Use Auto Scaling groups to increase the number of Amazon EC2 instances delivering the web application,Use Auto Scaling groups to increase the size of the Amazon RDS instances delivering the database,Use Amazon DynamoDB strongly consistent reads to adjust for the increase in traffic,Use Amazon DynamoDB Accelerator (DAX) to cache read operations to the database,,D,"DAX has in memory cache. If breaking news happens, majority of the users searching will look for the exact same thing. That being said, requests willquery the Memory Cache first and will not need to fetch the data from the DB directly.",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
19,"During a review of business applications, a Solutions Architect identifies a critical application with a relational database that was built by a business userand is running on the user's desktop. To reduce the risk of a business interruption, the Solutions Architect wants to migrate the application to a highlyavailable, multi-tiered solution in AWS.What should the Solutions Architect do to accomplish this with the LEAST amount of disruption to the business?","Create an import package of the application code for upload to AWS Lambda, and include a function to create another Lambda function to migrate data into an Amazon RDS database","Create an image of the user's desktop, migrate it to Amazon EC2 using VM Import, and place the EC2 instance in an Auto Scaling group",Pre-stage new Amazon EC2 instances running the application code on AWS behind an Application Load Balancer and an Amazon RDS Multi-AZ DB instance,Use AWS DMS to migrate the backend database to an Amazon RDS Multi-AZ DB instance.Migrate the application code to AWS Elastic Beanstalk,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
20,"A company has thousands of files stored in an Amazon S3 bucket that has a well-defined access pattern. The files are accessed by an applicationmultiple times a day for the first 30 days. Files are rarely accessed within the next 90 days. After that, the files are never accessed again. During the first120 days, accessing these files should never take more than a few seconds.Which lifecycle policy should be used for the S3 objects to minimize costs based on the access pattern?",Use Amazon S3 Standard-Infrequent Access (S3 Standard-IA) storage for the first 30 days. Then move the files to the GLACIER storage class for the next 90 days. Allow the data to expire after that.,Use Amazon S3 Standard storage for the first 30 days. Then move the files to Amazon S3 Standard- Infrequent Access (S3 Standard-IA) for the next 90 days. Allow the data to expire after that.,Use Amazon S3 Standard storage for first 30 days. Then move the files to the GLACIER storage class for the next 90 days. Allow the data to expire after that.,"Use Amazon S3 Standard-Infrequent Access (S3 Standard-IA) for the first 30 days. After that, move the data to the GLACIER storage class, where is will be deleted automatically.",,B,It is mentioned that they need to access data in few seconds during the 120 days.,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
21,A company creates business-critical 3D images every night. The images are batch-processed every Friday and require an uninterrupted 48 hours tocomplete.What is the MOST cost-effective Amazon EC2 pricing model for this scenario?,On-Demand Instances,Scheduled Reserved Instances,Reserved Instances,Spot Instances,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
22,An application generates audit logs of operational activities. Compliance requirements mandate that the application retain the logs for 5 years. How can these requirements be met?,Save the logs in an Amazon S3 bucket and enable Multi-Factor Authentication Delete (MFA Delete) on the bucket.,Save the logs in an Amazon EFS volume and use Network File System version 4 (NFSv4) locking with the volume.,Save the logs in an Amazon Glacier vault and use the Vault Lock feature.,Save the logs in an Amazon EBS volume and take monthly snapshots.,,C,"Amazon Glacier, which enables long-term storage of mission-critical data, has added Vault Lock. This new feature allows you to lock your vault with a variety of compliance controls that are designed to support such long-term records retention.",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
23,A Solutions Architect is creating an application running in an Amazon VPC that needs to access AWS Systems Manager Parameter Store. Networksecurity rules prohibit any route table entry with a 0.0.0.0/0 destination.What infrastructure addition will allow access to the AWS service while meeting the requirements?,VPC peering,NAT instance,NAT gateway,AWS PrivateLink,,D,"You can privately access AWS Systems Manager APIs from your VPC (created using Amazon Virtual Private Cloud) by creating VPC Endpoints. With VPC Endpoints, the routing between the VPC and AWS Systems Manager is handled by the AWS network without the need for an internet gateway, NAT gateway, or VPN connection. The latest generation of VPC Endpoints used by AWS Systems Manager are powered by AWS PrivateLink, a technology that enables private connectivity between AWS services using Elastic Network Interfaces (ENIs) with private IP addresses in your VPCs. To learn more about PrivateLink, visit the PrivateLink documentation. https://docs.aws.amazon.com/vpc/latest/userguide/vpce-interface.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
24,"A photo-sharing website running on AWS allows users to generate thumbnail images of photos stored in Amazon S3. An Amazon DynamoDB table maintains the locations of photos, and thumbnails are easily re- created from the originals if they are accidentally deleted. How should the thumbnail images be stored to ensure the LOWEST cost?",Amazon S3 Standard-Infrequent Access (S3 Standard-IA) with cross-region replication,Amazon S3,Amazon Glacier,Amazon S3 with cross-region replication,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
25,A company is implementing a data lake solution on Amazon S3. Its security policy mandates that the data stored in Amazon S3 should be encrypted at rest. Which options can achieve this? (Select TWO.),Use S3 server-side encryption with an Amazon EC2 key pair.,Use S3 server-side encryption with customer-provided keys (SSE-C).,Use S3 bucket policies to restrict access to the data at rest.,Use client-side encryption before ingesting the data to Amazon S3 using encryption keys.,Use SSL to encrypt the data while in transit to Amazon S3.,B D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
26,A solutions architect has created a new AWS account and must secure AWS account root user access. Which combination of actions will accomplish this? (Select TWO.),Ensure the root user uses a strong password,Enable multi-factor authentication to the root user,Store root user access keys in an encrypted Amazon S3 bucket,Add the root user to a group containing administrative permissions.,Apply the required permissions to the root user with an inline policy document,A B,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
27,A company's application runs on Amazon EC2 instances behind an Application Load Balancer (ALB). The instances run in an Amazon EC2 Auto Scaling group across multiple Availability Zones. On the first day of every month at midnight the application becomes much slower when the month-end financial calculation batch executes. This causes the CPU utilization of the EC2 instances to immediately peak to 100% which disrupts the application. What should a solutions architect recommend to ensure the application is able to handle the workload and avoid downtime?,Configure an Amazon CloudFront distribution in front of the ALB,Configure an EC2 Auto Scaling simple scaling policy based on CPU utilization,Configure an EC2 Auto Scaling scheduled scaling policy based on the monthly schedule.,Configure Amazon ElastiCache to remove some of the workload from the EC2 instances,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
28,A company is migrating from an on-premises infrastructure to the AWS Cloud. One of the company's applications stores files on a Windows file server farm that uses Distributed File System Replication (DFSR) to keep data in sync. A solutions architect needs to replace the file server farm. Which service should the solutions architect use?,Amazon EFS,Amazon FSx,Amazon S3,AWS Storage Gateway,,B,https://docs.aws.amazon.com/fsx/latest/WindowsGuide/migrate-files-to-fsx-datasync.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
29,A company's website is used to sell products to the public. The site runs on Amazon EC2 instances in an Auto Scaling group behind an Application Load Balancer (ALB). There is also an Amazon CloudFront distribution and AWS WAF is being used to protect against SQL injection attacks. The ALB is the origin for the CloudFront distribution. A recent review of security logs revealed an external malicious IP that needs to be blocked from accessing the website. What should a solutions architect do to protect the application?,Modify the network ACL on the CloudFront distribution to add a deny rule for the malicious IP address,Modify the configuration of AWS WAF to add an IP match condition to block the malicious IP address,Modify the network ACL for the EC2 instances in the target groups behind the ALB to deny the malicious IP address,Modify the security groups for the EC2 instances in the target groups behind the ALB to deny the malicious IP address,,B,https://aws.amazon.com/blogs/aws/aws-web-application-firewall-waf-for-application-loadbalancers,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
30,A marketing company is storing CSV files in an Amazon S3 bucket for statistical analysis. An application on an Amazon EC2 instance needs permission to efficiently process the CSV data stored in the S3 bucket. Which action will MOST securely grant the EC2 instance access to the S3 bucket?,Attach a resource-based policy to the S3 bucket,Create an IAM user for the application with specific permissions to the S3 bucket,Associate an IAM role with least privilege permissions to the EC2 instance profile,Store AWS credentials directly on the EC2 instance for applications on the instance to use for API calls,,B,https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Target.S3.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
31,A solutions architect is designing a solution where users will De directed to a backup static error page it the primary website is unavailable. The primary website's DNS records are hosted in Amazon Route 53 where their domain is pointing to an Application Load Balancer (ALB). Which configuration should the solutions architect use to meet the company's needs while minimizing changes and infrastructure overhead?,"Point a Route 53 alias record to an Amazon CloudFront distribution with the ALB as one of its origins. Then, create custom error pages for the distribution. ",Set up a Route 53 active-passive failover configuration. Direct traffic to a static error page hosted within an Amazon S3 bucket when Route 53 health checks determine that the ALB endpoint is unhealthy. ,Update the Route 53 record to use a latency-based routing policy. Add the backup static error page hosted within an Amazon S3 bucket to the record so the traffic is sent to the most responsive endpoints. ,Set up a Route 53 active-active configuration with the ALB and an Amazon EC2 instance hosting a static error page as endpoints. Route 53 will only send requests to the instance if the health checks fail for the ALB. ,,B,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
32,A solutions architect is designing the cloud architecture for a new application being deployed on AWS. The process should run in parallel while adding and removing application nodes as needed based on the number of jobs to be processed. The processor application is stateless. The solutions architect must ensure that the application is loosely coupled and the job items are durably stored. Which design should the solutions architect use?,"Point a Route 53 alias record to an Amazon CloudFront distribution with the ALB as one of its origins. Then, create custom error pages for the distribution.",Set up a Route 53 active-passive failover configuration. Direct traffic to a static error page hosted within an Amazon S3 bucket when Route 53 health checks determine that the ALB endpoint is unhealthy.,Update the Route 53 record to use a latency-based routing policy. Add the backup static error page hosted within an Amazon S3 bucket to the record so the traffic is sent to the most responsive endpoints.,Set up a Route 53 active-active configuration with the ALB and an Amazon EC2 instance hosting a static error page as endpoints. Route 53 will only send requests to the instance if the health checks fail for the ALB.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
33,"A company has a legacy application that processes data in two parts. The second part of the process takes longer than the first, so the company has decided to rewrite the application as two microservices running on Amazon ECS that can scale independently. How should a solutions architect integrate the microservices?",Implement code in microservice 1 to send data to an Amazon S3 bucket. Use S3 event notifications to invoke microservice 2.,Implement code in microservice 1 to publish data to an Amazon SNS topic. Implement code in microservice 2 to subscribe to this topic.,Implement code in microservice 1 to send data to Amazon Kinesis Data Firehose. Implement code in microservice 2 to read from Kinesis Data Firehose.,Implement code in microservice 1 to send data to an Amazon SQS queue. Implement code in microservice 2 to process messages from the queue.,,C,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
34,A solutions architect at an ecommerce company wants to back up application log data to Amazon S3. The solutions architect is unsure how frequently the logs will be accessed or which logs will be accessed the most. The company wants to keep costs as low as possible by using the appropriate S3 storage class. Which S3 storage class should be implemented to meet these requirements?,S3 Glacier,S3 Intelligent-Tiering,S3 Standard-Infrequent Access (S3 Standard-IA),S3 One Zone-Infrequent Access (S3 One Zone-IA),,D,"S3 One Zone-IA is for data that is accessed less frequently, but requires rapid access when needed. Unlike other S3 Storage Classes which store data in a minimum of three Availability Zones (AZs), S3 One Zone-IA stores data in a single AZ and costs 20% less than S3 Standard-IA. S3 One Zone-IA is ideal for customers who want a lower-cost option for infrequently accessed data but do not require the availability and resilience of S3 Standard or S3 Standard-IA. It's a good choice for storing secondary backup copies of on-premises data or easily re-creatable data. You can also use it as cost-effective storage for data that is replicated from another AWS Region using S3 Cross-Region Replication.",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
35,A security team wants to limit access to specific services or actions in all of the team's AWS accounts. All accounts belong to a large organization in AWS Organizations. The solution must be scalable and there must be a single point where permissions can be maintained. What should a solutions architect do to accomplish this?,Create an ACL to provide access to the services or actions.,Create a security group to allow accounts and attach it to user groups,Create cross-account roles in each account to deny access to the services or actions.,Create a service control policy in the root organizational unit to deny access to the services or actions,,D,,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
36,"You are trying to launch an EC2 instance, however the instance seems to go into a terminated status immediately. What would probably not be a reason that this is happening?",The AMI is missing a required part.,The snapshot is corrupt.,You need to create storage in EBS first.,You've reached your volume limit.,,C,"Amazon EC2 provides a virtual computing environments, known as an instance. After you launch an instance, AWS recommends that you check its status to confirm that it goes from the pending status to the running status, the not terminated status. The following are a few reasons why an Amazon EBS-backed instance might immediately terminate: You've reached your volume limit. The AMI is missing a required part. The snapshot is corrupt. Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/Using_InstanceStraightToTerminated.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
37,"You have set up an Auto Scaling group. The cool down period for the Auto Scaling group is 7 minutes. The first instance is launched after 3 minutes, while the second instance is launched after 4 minutes. How many minutes after the first instance is launched will Auto Scaling accept another scaling activity request?",11 minutes,7 minutes,10 minutes,14 minutes,,A,"If an Auto Scaling group is launching more than one instance, the cool down period for each instance starts after that instance is launched. The group remains locked until the last instance that was launched has completed its cool down period. In this case the cool down period for the first instance starts after 3 minutes and finishes at the 10th minute (3+7 cool down), while for the second instance it starts at the 4th minute and finishes at the 11th minute (4+7 cool down). Thus, the Auto Scaling group will receive another request only after 11 minutes. Reference: http://docs.aws.amazon.com/AutoScaling/latest/DeveloperGuide/AS_Concepts.html",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
38,"In Amazon EC2 Container Service components, what is the name of a logical grouping of container instances on which you can place tasks?",A cluster,A container instance,A container,A task definition,,A,Amazon ECS contains the following components: A Cluster is a logical grouping of container instances that you can place tasks on. A Container instance is an Amazon EC2 instance that is running the Amazon ECS agent and has been registered into a cluster. A Task definition is a description of an application that contains one or more container definitions. A Scheduler is the method used for placing tasks on container instances. A Service is an Amazon ECS service that allows you to run and maintain a specified number of instances of a task definition simultaneously. A Task is an instantiation of a task definition that is running on a container instance. A Container is a Linux container that was created as part of a task. Reference: http://docs.aws.amazon.com/AmazonECS/latest/developerguide/Welcome.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
39,"In the context of AWS support, why must an EC2 instance be unreachable for 20 minutes rather than allowing customers to open tickets immediately?",Because most reachability issues are resolved by automated processes in less than 20 minutes,Because all EC2 instances are unreachable for 20 minutes every day when AWS does routine maintenance,Because all EC2 instances are unreachable for 20 minutes when first launched,Because of all the reasons listed here,,A,"An EC2 instance must be unreachable for 20 minutes before opening a ticket, because most reachability issues are resolved by automated processes in less than 20 minutes and will not require any action on the part of the customer. If the instance is still unreachable after this time frame has passed, then you should open a case with support. Reference: https://aws.amazon.com/premiumsupport/faqs/",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
40,Can a user get a notification of each instance start / terminate configured with Auto Scaling?,"Yes, if configured with the Launch Config","Yes, always","Yes, if configured with the Auto Scaling group",No,,C,The user can get notifications using SNS if he has configured the notifications while creating the Auto Scaling group. Reference: http://docs.aws.amazon.com/AutoScaling/latest/DeveloperGuide/GettingStartedTutorial.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
41,Amazon EBS provides the ability to create backups of any Amazon EC2 volume into what is known as _____.,snapshots,images,instance backups,mirrors,,A,Amazon allows you to make backups of the data stored in your EBS volumes through snapshots that can later be used to create a new EBS volume. Reference: http://docs.amazonwebservices.com/AWSEC2/latest/UserGuide/Storage.html,,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
42,"To specify a resource in a policy statement, in Amazon EC2, can you use its Amazon Resource Name (ARN)?","Yes, you can.","No, you can't because EC2 is not related to ARN.","No, you can't because you can't specify a particular Amazon EC2 resource in an IAM policy.","Yes, you can but only for the resources that are not affected by the action.",,A,"Some Amazon EC2 API actions allow you to include specific resources in your policy that can be created or modified by the action. To specify a resource in the statement, you need to use its Amazon Resource Name (ARN). Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-ug.pdf",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
43,"After you recommend Amazon Redshift to a client as an alternative solution to paying data warehouses to analyze his data, your client asks you to explain why you are recommending Redshift. Which of the following would be a reasonable response to his request?",It has high performance at scale as data and query complexity grows.,It prevents reporting and analytic processing from interfering with the performance of OLTP workloads.,"You don't have the administrative burden of running your own data warehouse and dealing with setup, durability, monitoring, scaling, and patching.",All answers listed are a reasonable response to his question,,D,"Amazon Redshift delivers fast query performance by using columnar storage technology to improve I/O efficiency and parallelizing queries across multiple nodes. Redshift uses standard PostgreSQL JDBC and ODBC drivers, allowing you to use a wide range of familiar SQL clients. Data load speed scales linearly with cluster size, with integrations to Amazon S3, Amazon DynamoDB, Amazon Elastic MapReduce, Amazon Kinesis or any SSH- enabled host. AWS recommends Amazon Redshift for customers who have a combination of needs, such as: High performance at scale as data and query complexity grows Desire to prevent reporting and analytic processing from interfering with the performance of OLTP workloads Large volumes of structured data to persist and query using standard SQL and existing BI tools Desire to the administrative burden of running one's own data warehouse and dealing with setup, durability, monitoring, scaling and patching Reference: https://aws.amazon.com/running_databases/#redshift_anchor",,SAA-C02,Exam Practice ( SAA-C02 ),AWS Certified Solutions Architect Associate
